DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
,,,,,,,,,,,,,,,
"Đường Nguyễn Trãi, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"46,92 triệu/m²",2 phòng,,5,1 phòng,"Tập thể, cư xá",,,,,,,"3,05 tỷ"
"Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"44,55 triệu/m²",2 phòng,,3,1 phòng,"Tập thể, cư xá",,,,,,,"2,45 tỷ"
"CT20, Phố Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",Đã bàn giao,,"46,58 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,54 tỷ"
"Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"36,67 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,3 tỷ"
"Cổ Loa, Xã Cổ Loa, Huyện Đông Anh, Hà Nội",Chưa bàn giao,30 m²,100 triệu/m²,1 phòng,,,,Chung cư,Hợp đồng mua bán,,,,,,3 tỷ
"Phố Nguyễn Đức Cảnh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,90 m²,"52,78 triệu/m²",3 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"4,75 tỷ"
"Quốc Lộ 32, Xã Đan Phượng, Huyện Đan Phượng, Hà Nội",Chưa bàn giao,66 m²,"75,76 triệu/m²",2 phòng,,,,Chung cư,Hợp đồng mua bán,,,,,,5 tỷ
"Phố Tố Hữu, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"52,53 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"6,986 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"87, Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"56,58 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,3 tỷ"
"Tân Xuân, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,50 triệu/m²,2 phòng,,,2 phòng,,,,,Tây Nam,Đông Nam,,"3,25 tỷ"
"Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,70 m²,"35,71 triệu/m²",2 phòng,,,,"Tập thể, cư xá",1,,,,,,"2,5 tỷ"
"Phố Nguyễn Phan Chánh, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"57,69 triệu/m²",3 phòng,,,2 phòng,Chung cư,,,,,Đông Nam,,"4,5 tỷ"
"Phố Kim Ngưu, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"41,54 triệu/m²",2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,7 tỷ"
"Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"48,57 triệu/m²",2 phòng,,5,1 phòng,"Tập thể, cư xá",,,,,,,"1,7 tỷ"
"Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"28,85 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,75 tỷ"
"5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"42,86 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,3 tỷ
"5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"43,33 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,6 tỷ"
"5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"43,75 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,5 tỷ"
"Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"57,14 triệu/m²",3 phòng,,,2 phòng,Chung cư,Hợp đồng mua bán,,,,,,"7,2 tỷ"
"5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"46,81 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,2 tỷ"
"502 khu TT 8/3, Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"43,08 triệu/m²",2 phòng,,5,1 phòng,"Tập thể, cư xá",,,,,,,"2,8 tỷ"
"5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"51,61 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,6 tỷ"
"Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",Chưa bàn giao,50 m²,49 triệu/m²,2 phòng,,,,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,45 tỷ"
"Phố Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"237,18 triệu/m²",nhiều hơn 10 phòng,,,Nhiều hơn 6 phòng,,,,,Bắc,Đông Bắc,,"18,5 tỷ"
"Khu đô thị Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Đã bàn giao,,"48,42 triệu/m²",3 phòng,,25,2 phòng,Chung cư,,,,,,,"4,6 tỷ"
"Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,70 m²,"36,57 triệu/m²",2 phòng,,,,Chung cư,Hợp đồng mua bán,,,,,,"2,56 tỷ"
"Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"58,33 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,85 tỷ"
"số 32, Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"56,25 triệu/m²",3 phòng,B,,2 phòng,Chung cư,,,,,,,"4,5 tỷ"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Phố Lê Gia Đỉnh, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"43,45 triệu/m²",2 phòng,,3,1 phòng,"Tập thể, cư xá",,,,,,,"2,39 tỷ"
"Đường 40M Nam Thăng Long, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Chưa bàn giao,140 m²,"214,29 triệu/m²",3 phòng,,,,Duplex,Hợp đồng mua bán,,,,,,30 tỷ
"Phố Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"35,56 triệu/m²",1 phòng,,5,1 phòng,"Căn hộ dịch vụ, mini",,,,,,,"1,6 tỷ"
"Đường Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"33,33 triệu/m²",2 phòng,7,1,2 phòng,,,,,,,,"2,5 tỷ"
"Phố Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,115 m²,"49,57 triệu/m²",3 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"5,7 tỷ"
"Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Chưa bàn giao,,50 triệu/m²,3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"5,6 tỷ"
"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,70 m²,"61,43 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"4,3 tỷ"
"Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"36,06 triệu/m²",2 phòng,,,2 phòng,,,,,Tây Bắc,Đông Nam,,"2,56 tỷ"
"Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"43,12 triệu/m²",2 phòng,,,1 phòng,Chung cư,Hợp đồng mua bán,,,,,,"2,07 tỷ"
"Lô HH6, Lô HH6 Lô đất HH6, Khu đô thị mới Nam An Khánh, Huyện Hoài Đức, Hà Nội, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Chưa bàn giao,,"55,83 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,35 tỷ"
"Phố Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Chưa bàn giao,,"49,17 triệu/m²",2 phòng,,4,2 phòng,"Tập thể, cư xá",,,,,,,"2,95 tỷ"
"xuân thủy, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Đã bàn giao,50 m²,34 triệu/m²,2 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,,"1,7 tỷ"
"Hồ Đền Lừ, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"51,67 triệu/m²",2 phòng,,13,,Chung cư,Sổ hồng riêng,,,,,,"3,1 tỷ"
"Đường Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"130,97 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"14,8 tỷ"
"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Chưa bàn giao,,16 triệu/m²,nhiều hơn 10 phòng,,,Nhiều hơn 6 phòng,Chung cư,Sổ hồng riêng,,,,,,16 tỷ
"Phố Hồng Mai, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,,60 triệu/m²,2 phòng,,1,,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"1,8 tỷ"
"16 , Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội",Đã bàn giao,,"154,47 triệu/m²",3 phòng,,9,2 phòng,,,,,Đông Bắc,,,19 tỷ
"Phố Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Hà Nội",Đã bàn giao,,"53,08 triệu/m²",3 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,45 tỷ"
"A2, Phố Khâm Thiên, Phường Thổ Quan, Quận Đống Đa, Hà Nội",Chưa bàn giao,,52 triệu/m²,3 phòng,A2,2,,,,,,Tây Nam,,,"3,9 tỷ"
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,200 triệu/m²,nhiều hơn 10 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,Nội thất đầy đủ,,,,11 tỷ
,,,,,,,,,,,,,,,
"Tam Trinh , Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"53,85 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,Nội thất đầy đủ,,,,"3,5 tỷ"
,,,,,,,,,,,,,,,
"Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"60,28 triệu/m²",2 phòng,,17,1 phòng,Chung cư,,,,,,,"4,28 tỷ"
"Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"57,69 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,5 tỷ"
"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,15 triệu/m²,2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,780 triệu
"Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đã bàn giao,,"34,91 triệu/m²",2 phòng,9,3,1 phòng,,,,,,,,"1,92 tỷ"
"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"96,84 triệu/m²",3 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"3,68 tỷ"
"Đường Tây Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"71,43 triệu/m²",1 phòng,B,12,,,,,,Nam,,,"2,193 tỷ"
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"55,26 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,2 tỷ"
"Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,250 triệu/m²,nhiều hơn 10 phòng,,,Nhiều hơn 6 phòng,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,,"12,5 tỷ"
"Phố Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"50,59 triệu/m²",2 phòng,,4,2 phòng,Chung cư,,,,,,,"4,3 tỷ"
"Phố Hoàng Công, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đã bàn giao,,"45,83 triệu/m²",2 phòng,,5,2 phòng,Chung cư,,,,,,,"3,3 tỷ"
"Số 323, Số 323 Số 323 Xuân Đỉnh, phường Xuân Đỉnh, quận Bắc Từ Liêm, TP. Hà Nội, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"68,39 triệu/m²",3 phòng,,,2 phòng,,,,,Tây Nam,Đông Nam,,"5,95 tỷ"
"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,,"226,67 triệu/m²",nhiều hơn 10 phòng,,,Nhiều hơn 6 phòng,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,,"10,2 tỷ"
"Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,,"39,60 triệu/m²",3 phòng,,,2 phòng,,,,,Đông,Bắc,,4 tỷ
"Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"43,21 triệu/m²",2 phòng,,20,2 phòng,Chung cư,,,,,,,"2,42 tỷ"
"S402 Smart City, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,30 m²,"72,67 triệu/m²",1 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"2,18 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"42,83 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,57 tỷ"
"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"34,38 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,75 tỷ"
"30, 30 Đường Phạm Văn Đồng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Chưa bàn giao,,65 triệu/m²,2 phòng,,10,2 phòng,Chung cư,,,,,,,"4,55 tỷ"
,,,,,,,,,,,,,,,
"Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"51,29 triệu/m²",2 phòng,,,2 phòng,Chung cư,Hợp đồng mua bán,,,,,,"3,59 tỷ"
,,,,,,,,,,,,,,,
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"46,38 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,18 tỷ"
"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,62 triệu/m²,3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,65 tỷ"
"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,70 m²,"61,43 triệu/m²",2 phòng,,,,"Căn hộ dịch vụ, mini",Sổ hồng riêng,,,,,,"4,3 tỷ"
"ct10, Phố Nguyễn Cao Luyện, Phường Đức Giang, Quận Long Biên, Hà Nội",Chưa bàn giao,,"43,65 triệu/m²",3 phòng,CT10,,2 phòng,,,,,Tây,,,"5,5 tỷ"
"Đường Nguyễn Xiển, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"49,56 triệu/m²",2 phòng,,26,,Chung cư,Sổ hồng riêng,,,,,,"2,23 tỷ"
"Phố Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,56 triệu/m²,3 phòng,,8,2 phòng,Chung cư,,,,,,,"4,48 tỷ"
"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"64,81 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,5 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"46,38 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,18 tỷ"
"Nguyễn Đức Cảnh , Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"52,78 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,75 tỷ"
"Phố Nguyễn Cao Luyện, Phường Giang Biên, Quận Long Biên, Hà Nội",Chưa bàn giao,,"39,69 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,81 tỷ"
"Ngõ 33 - Tổ 6 Đa Sĩ - P.Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đã bàn giao,,"47,50 triệu/m²",3 phòng,A,29,,,,,,Đông Bắc,,,"3,8 tỷ"
"5, Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,"33,33 triệu/m²",2 phòng,,,1 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,2 tỷ
"Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,,"36,67 triệu/m²",3 phòng,,4,2 phòng,"Tập thể, cư xá",,,,,,,"3,3 tỷ"
"Đường Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,105 m²,"53,33 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,,,,,"5,6 tỷ"
,,,,,,,,,,,,,,,
"201, Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"94,74 triệu/m²",2 phòng,S1,,2 phòng,,,,,Tây Bắc,,,"7,2 tỷ"
"Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Chưa bàn giao,,"80,45 triệu/m²",2 phòng,,5,1 phòng,"Tập thể, cư xá",,,,,,,"3,3 tỷ"
"s2.06, Đường San Hô 1, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,50 triệu/m²,3 phòng,,8,2 phòng,,,,,Đông,,,"3,75 tỷ"
"Đường Dương Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Đã bàn giao,,"47,67 triệu/m²",3 phòng,B,5,,,,,,Bắc,,,"4,1 tỷ"
,,,,,,,,,,,,,,,
"Phung Hung, Phường Phú La, Quận Hà Đông, Hà Nội",Đã bàn giao,,"65,92 triệu/m²",2 phòng,,14,1 phòng,,,,,Bắc,,,"4,68 tỷ"
,,,,,,,,,,,,,,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Đã bàn giao,,"35,71 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,25 tỷ"
"Đường Đền Lừ 2, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"67,86 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,8 tỷ"
"Giáp Nhất, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,,33 triệu/m²,2 phòng,,,1 phòng,Chung cư,Hợp đồng mua bán,,,,,,"1,65 tỷ"
"Phường Đại Kim, Hoàng Mai, Hà Nội, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"54,61 triệu/m²",3 phòng,,,2 phòng,,,,,Tây Nam,Đông Bắc,,"4,15 tỷ"
"Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Đã bàn giao,,"25,38 triệu/m²",2 phòng,,,2 phòng,"Căn hộ dịch vụ, mini",Hợp đồng mua bán,,,,,,"1,65 tỷ"
"Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Chưa bàn giao,,"56,43 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,95 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"67,62 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"4,26 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"66,55 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,66 tỷ"
"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"46,43 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,Nội thất cao cấp,,,,"3,25 tỷ"
"Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"36,11 triệu/m²",2 phòng,,,1 phòng,"Căn hộ dịch vụ, mini",Hợp đồng mua bán,,,,,,"1,95 tỷ"
"Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",Đã bàn giao,,36 triệu/m²,2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,98 tỷ"
"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",Đã bàn giao,,"33,60 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,68 tỷ"
"Xã Đa Tốn, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"72,38 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,04 tỷ"
"Phố An Trạch, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",Đã bàn giao,,"42,14 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,18 tỷ"
"275, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,,"59,64 triệu/m²",3 phòng,B,2,,,,,,Đông Nam,,,"9,9 tỷ"
"Phố Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,,"21,80 triệu/m²",2 phòng,,,2 phòng,Chung cư,Hợp đồng mua bán,,,,,,"2,18 tỷ"
"Phố An Trạch 1, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",Chưa bàn giao,,"39,43 triệu/m²",1 phòng,,,1 phòng,"Căn hộ dịch vụ, mini",Hợp đồng mua bán,,,,,,"1,38 tỷ"
"Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"42,39 triệu/m²",2 phòng,,,1 phòng,Chung cư,Hợp đồng mua bán,,,,,,"1,95 tỷ"
"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,,"102,14 triệu/m²",3 phòng,,,2 phòng,"Tập thể, cư xá",Sổ hồng riêng,,,,,,"2,86 tỷ"
"Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"62,84 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,959 tỷ"
,,,,,,,,,,,,,,,
"Cầu Bươu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đã bàn giao,,"44,21 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,36 tỷ"
"CT12 Kim Văn Kim Lũ, Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,"55,33 triệu/m²",2 phòng,,,,Chung cư,Sổ hồng riêng,,Nội thất đầy đủ,,,,"2,49 tỷ"
,,,,,,,,,,,,,,,
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"44,07 triệu/m²",2 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,6 tỷ"
"Hoàng Liệt, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,,54 triệu/m²,3 phòng,6B,8,,,,,,Đông,,,"4,606 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"42,65 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,9 tỷ"
"An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Đã bàn giao,,"34,44 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,55 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"47,87 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"2,25 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"43,75 triệu/m²",3 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,5 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"43,33 triệu/m²",2 phòng,,,1 phòng,Chung cư,1,,,,,,"2,6 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"44,29 triệu/m²",2 phòng,,,2 phòng,Chung cư,Sổ hồng riêng,,,,,,"3,1 tỷ"
"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,,"44,59 triệu/m²",1 phòng,,,1 phòng,Chung cư,Sổ hồng riêng,,,,,,"1,65 tỷ"
"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,,"66,98 triệu/m²",2 phòng,,,1 phòng,,,,,Tây Bắc,Đông Nam,,"2,88 tỷ"
"Ngõ 250 Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,,"62,50 triệu/m²",2 phòng,,10,2 phòng,Chung cư,,,,,,,5 tỷ
